file_upload,band_label,y1,y2,pixels_in_band,g_top,g_top_count,g_top_pct
f84a315a-www-kubernetes-io.png,['Banner'],3944,4190,354240,63,281061,0.7934197154471545
1f806e9d-www-mongodb-com.png,['Banner'],0,50,72000,112,57577,0.7996805555555555
1f806e9d-www-mongodb-com.png,['Nav'],48,155,154080,30,53878,0.3496754932502596
1f806e9d-www-mongodb-com.png,['Header'],155,1447,1860480,22,743852,0.3998172514619883
1f806e9d-www-mongodb-com.png,['Main'],1451,5141,5313600,255,2525177,0.4752290349292382
1f806e9d-www-mongodb-com.png,['Supplement'],5143,5781,918720,22,525051,0.5715027429467084
1f806e9d-www-mongodb-com.png,['Footer'],5784,5880,138240,22,134940,0.9761284722222222
ff5a9657-www-tensorflow-org.png,['Nav'],0,52,74880,112,29991,0.4005208333333333
ff5a9657-www-tensorflow-org.png,['Header'],50,2066,2903040,255,1764630,0.6078559027777778
ff5a9657-www-tensorflow-org.png,['Main'],2064,6157,5893920,255,2669273,0.4528858552542281
ff5a9657-www-tensorflow-org.png,['Supplement'],6155,6383,328320,16,239784,0.7303362573099416
ff5a9657-www-tensorflow-org.png,['Footer'],6383,6504,174240,255,157982,0.9066919191919192
280db735-airflow-apache-org.png,['Banner'],0,41,59040,112,55756,0.9443766937669377
280db735-airflow-apache-org.png,['Nav'],40,160,172800,255,149553,0.86546875
280db735-airflow-apache-org.png,['Header'],159,1063,1301760,255,1193740,0.917020034414946
280db735-airflow-apache-org.png,['Main'],1060,4357,4747680,255,3587506,0.7556334883564183
280db735-airflow-apache-org.png,['Supplement'],4357,4496,200160,80,179445,0.896507793764988
280db735-airflow-apache-org.png,['Footer'],4494,4645,217440,99,199627,0.9180785504047093
6cb941c0-circleci-com.png,['Nav'],1,73,104544,255,47770,0.4569367921640649
6cb941c0-circleci-com.png,['Banner'],71,117,66792,212,47996,0.7185890525811475
6cb941c0-circleci-com.png,['Header'],118,1007,1290828,237,502625,0.3893818541277382
6cb941c0-circleci-com.png,['Main'],1006,6965,8652468,237,3628357,0.41934359075352834
6cb941c0-circleci-com.png,['Supplement'],6965,7454,710028,39,603652,0.8501805562597531
6cb941c0-circleci-com.png,['Footer'],7453,8081,911856,39,894000,0.9804179607306417
64a5f0ea-duckdb-org.png,['Nav'],0,69,99360,250,86740,0.8729871175523349
